Date,Clicks,Impressions,CTR,Position
2025-10-21,6,180,3.33%,7
2025-10-22,5,158,3.16%,7.3
2025-10-23,3,145,2.07%,9.6
2025-10-24,4,141,2.84%,8.2
2025-10-25,3,54,5.56%,10.7
2025-10-26,3,78,3.85%,13.7
2025-10-27,2,178,1.12%,7.3
2025-10-28,1,175,0.57%,5.6
2025-10-29,2,145,1.38%,7.2
2025-10-30,8,138,5.8%,10.3
2025-10-31,1,112,0.89%,9.5
2025-11-01,1,67,1.49%,11.5
2025-11-02,2,73,2.74%,12.8
2025-11-03,2,167,1.2%,8.3
2025-11-04,4,148,2.7%,7.5
2025-11-05,0,123,0%,7.9
2025-11-06,3,137,2.19%,7.6
2025-11-07,1,114,0.88%,9
2025-11-08,1,84,1.19%,17.7
2025-11-09,2,49,4.08%,11.1
2025-11-10,5,197,2.54%,8.1
2025-11-11,5,147,3.4%,8.6
2025-11-12,4,178,2.25%,11.3
2025-11-13,4,176,2.27%,8
2025-11-14,5,138,3.62%,8.5
2025-11-15,1,74,1.35%,11.1
2025-11-16,4,55,7.27%,13.5
2025-11-17,6,189,3.17%,8.7
2025-11-18,4,173,2.31%,6.7
2025-11-19,4,175,2.29%,7.7
2025-11-20,8,188,4.26%,8.9
2025-11-21,4,148,2.7%,10.2
2025-11-22,2,66,3.03%,16.1
2025-11-23,4,117,3.42%,10.5
2025-11-24,5,219,2.28%,7.9
2025-11-25,9,197,4.57%,8.3
2025-11-26,2,131,1.53%,10.8
2025-11-27,6,100,6%,12.6
2025-11-28,6,137,4.38%,11.3
2025-11-29,1,68,1.47%,16.4
2025-11-30,0,84,0%,15.5
2025-12-01,6,247,2.43%,6.8
2025-12-02,4,255,1.57%,10.2
2025-12-03,4,217,1.84%,9.8
2025-12-04,4,189,2.12%,8.9
2025-12-05,6,145,4.14%,12.2
2025-12-06,3,105,2.86%,24.2
2025-12-07,4,90,4.44%,13.1
2025-12-08,4,181,2.21%,12.8
2025-12-09,8,173,4.62%,7.6
2025-12-10,4,295,1.36%,12.7
2025-12-11,9,252,3.57%,9.6
2025-12-12,4,192,2.08%,10.2
2025-12-13,1,88,1.14%,22.5
2025-12-14,0,129,0%,17.9
2025-12-15,4,223,1.79%,12
2025-12-16,6,224,2.68%,14.1
2025-12-17,1,195,0.51%,13.8
2025-12-18,3,177,1.69%,12.8
2025-12-19,5,161,3.11%,12.3
2025-12-20,0,113,0%,22.6
2025-12-21,2,126,1.59%,19.1
2025-12-22,3,194,1.55%,14.9
2025-12-23,8,179,4.47%,15.4
2025-12-24,1,98,1.02%,21.4
2025-12-25,2,62,3.23%,18.2
2025-12-26,2,123,1.63%,15.6
2025-12-27,4,106,3.77%,17.3
2025-12-28,0,108,0%,14.8
2025-12-29,2,207,0.97%,12.5
2025-12-30,5,203,2.46%,15.5
2025-12-31,0,118,0%,16.2
2026-01-01,2,99,2.02%,21
2026-01-02,3,207,1.45%,12.1
2026-01-03,3,95,3.16%,14.7
2026-01-04,3,108,2.78%,19.6
2026-01-05,5,268,1.87%,11.7
2026-01-06,5,212,2.36%,8.7
2026-01-07,3,258,1.16%,14.7
2026-01-08,7,247,2.83%,16.5
2026-01-09,4,233,1.72%,23
2026-01-10,2,98,2.04%,18.3
2026-01-11,0,132,0%,23.8
2026-01-12,3,222,1.35%,11.7
2026-01-13,6,244,2.46%,10
2026-01-14,2,275,0.73%,14.1
2026-01-15,6,207,2.9%,10
2026-01-16,4,201,1.99%,15.8
2026-01-17,3,124,2.42%,20.9
2026-01-18,4,120,3.33%,18.3
2026-01-19,2,182,1.1%,14.6
2026-01-20,9,260,3.46%,11.9
2026-01-21,4,277,1.44%,11.8
2026-01-22,11,334,3.29%,10.6
2026-01-23,13,222,5.86%,11.4
2026-01-24,3,113,2.65%,18.8
2026-01-25,1,122,0.82%,17.1
2026-01-26,3,157,1.91%,15.2
2026-01-27,3,198,1.52%,13.5
2026-01-28,5,262,1.91%,11.2
2026-01-29,7,193,3.63%,10.9
2026-01-30,5,221,2.26%,14.5
2026-01-31,0,106,0%,16.7
2026-02-01,2,125,1.6%,13.7
2026-02-02,6,242,2.48%,10
2026-02-03,3,266,1.13%,14.8
2026-02-04,2,193,1.04%,16.9
2026-02-05,4,181,2.21%,10.3
2026-02-06,3,200,1.5%,10.6
2026-02-07,5,139,3.6%,17.9
2026-02-08,2,107,1.87%,15.6
2026-02-09,8,252,3.17%,9.3
2026-02-10,5,242,2.07%,12.6
2026-02-11,8,241,3.32%,9.6
2026-02-12,5,188,2.66%,9.6
2026-02-13,10,189,5.29%,13.2
2026-02-14,3,80,3.75%,15.8
2026-02-15,0,93,0%,12.6
2026-02-16,2,159,1.26%,10.3
2026-02-17,8,217,3.69%,12.3
2026-02-18,11,234,4.7%,8.9
2026-02-19,5,188,2.66%,9.8
2026-02-20,8,179,4.47%,12.7
2026-02-21,4,118,3.39%,13.6
2026-02-22,2,108,1.85%,12.8
2026-02-23,7,184,3.8%,8.2
2026-02-24,7,163,4.29%,10.5
2026-02-25,7,191,3.66%,8.6
2026-02-26,6,197,3.05%,8.2
2026-02-27,2,169,1.18%,11.3
2026-02-28,6,68,8.82%,16.6
2026-03-01,1,60,1.67%,10.4
2026-03-02,3,164,1.83%,5.6
2026-03-03,10,209,4.78%,8.7
2026-03-04,6,183,3.28%,7.9
2026-03-05,7,161,4.35%,8.6
2026-03-06,6,119,5.04%,9.3
2026-03-07,2,81,2.47%,13.2
2026-03-08,1,83,1.2%,13.1
2026-03-09,6,150,4%,9.5
2026-03-10,4,182,2.2%,10.2
2026-03-11,5,169,2.96%,10.3
2026-03-12,6,195,3.08%,14.7
2026-03-13,4,168,2.38%,11.1
2026-03-14,4,94,4.26%,19
2026-03-15,1,60,1.67%,11.1
2026-03-16,5,138,3.62%,8.9
2026-03-17,6,156,3.85%,9.8
2026-03-18,8,177,4.52%,9.3
2026-03-19,10,175,5.71%,9.3
2026-03-20,7,169,4.14%,13.2
2026-03-21,3,137,2.19%,22.7
2026-03-22,1,80,1.25%,13.4
2026-03-23,9,225,4%,9.8
2026-03-24,5,199,2.51%,12.6
2026-03-25,6,204,2.94%,10.2
2026-03-26,8,183,4.37%,9.8
2026-03-27,11,157,7.01%,11.3
2026-03-28,0,135,0%,11.4
2026-03-29,2,78,2.56%,12.7
2026-03-30,17,207,8.21%,9.3
2026-03-31,5,193,2.59%,8
2026-04-01,15,187,8.02%,8
2026-04-02,6,175,3.43%,7.7
2026-04-03,5,162,3.09%,7.4
2026-04-04,2,108,1.85%,13.9
2026-04-05,1,80,1.25%,13.3
2026-04-06,11,194,5.67%,8
2026-04-07,11,174,6.32%,7
2026-04-08,10,202,4.95%,7.9
2026-04-09,8,175,4.57%,9.6
2026-04-10,8,181,4.42%,8
2026-04-11,1,106,0.94%,15.2
2026-04-12,0,101,0%,14.7
2026-04-13,11,247,4.45%,9.5
2026-04-14,7,248,2.82%,8.5
2026-04-15,8,256,3.12%,8.4
2026-04-16,15,177,8.47%,8.6
2026-04-17,5,169,2.96%,8.7
2026-04-18,9,76,11.84%,16.9
2026-04-19,5,95,5.26%,10.6
2026-04-20,8,220,3.64%,7.9
2026-04-21,10,223,4.48%,6.8
2026-04-22,12,192,6.25%,8.3
2026-04-23,8,159,5.03%,5.8
2026-04-24,5,175,2.86%,6.8
2026-04-25,2,93,2.15%,9.8
2026-04-26,3,73,4.11%,11.3
2026-04-27,13,241,5.39%,8.7
2026-04-28,8,217,3.69%,6.4
2026-04-29,8,196,4.08%,7
2026-04-30,4,273,1.47%,6.3
2026-05-01,7,206,3.4%,4.7
2026-05-02,1,83,1.2%,16
2026-05-03,4,87,4.6%,15.8
2026-05-04,11,208,5.29%,6.9
2026-05-05,9,175,5.14%,7.9
2026-05-06,4,229,1.75%,7.2
2026-05-07,4,210,1.9%,7.9
2026-05-08,6,176,3.41%,5.9
2026-05-09,3,72,4.17%,12.4
2026-05-10,0,103,0%,14.9
2026-05-11,14,231,6.06%,6.8
2026-05-12,6,203,2.96%,9.6
2026-05-13,3,220,1.36%,7.2
2026-05-14,7,237,2.95%,9.4
2026-05-15,5,223,2.24%,7.2
2026-05-16,5,89,5.62%,9.1
2026-05-17,2,84,2.38%,15.6
2026-05-18,6,191,3.14%,8.4
2026-05-19,6,188,3.19%,11.3
2026-05-20,13,184,7.07%,8.7
2026-05-21,9,171,5.26%,6.5
2026-05-22,9,172,5.23%,10.9
2026-05-23,0,58,0%,16.7
2026-05-24,1,86,1.16%,15
2026-05-25,2,123,1.63%,9.9
2026-05-26,7,241,2.9%,9.1
2026-05-27,8,210,3.81%,9.1
2026-05-28,11,198,5.56%,8.5
2026-05-29,6,203,2.96%,11.4
2026-05-30,2,125,1.6%,13.5
2026-05-31,5,118,4.24%,11.1
2026-06-01,7,216,3.24%,8.4
2026-06-02,7,222,3.15%,10.6
2026-06-03,8,276,2.9%,9.5
2026-06-04,5,223,2.24%,6.9
2026-06-05,13,197,6.6%,8.3
2026-06-06,2,105,1.9%,10.9
2026-06-07,4,115,3.48%,11.7
2026-06-08,15,223,6.73%,9.2
2026-06-09,16,258,6.2%,9.2
2026-06-10,11,271,4.06%,8.7
2026-06-11,11,224,4.91%,7.3
2026-06-12,10,251,3.98%,8.5
2026-06-13,5,162,3.09%,14.4
2026-06-14,5,164,3.05%,11.1
2026-06-15,9,270,3.33%,8.7
2026-06-16,14,286,4.9%,10
2026-06-17,14,297,4.71%,9.5
2026-06-18,9,291,3.09%,7.4
2026-06-19,3,248,1.21%,10.4
2026-06-20,1,156,0.64%,13.9
2026-06-21,3,123,2.44%,15.5
2026-06-22,12,310,3.87%,7.9
2026-06-23,11,341,3.23%,10.8
2026-06-24,17,363,4.68%,9.2
2026-06-25,15,395,3.8%,6.5
2026-06-26,15,375,4%,7.7
2026-06-27,7,250,2.8%,8.2
2026-06-28,8,256,3.12%,11.1
2026-06-29,23,426,5.4%,8
2026-06-30,21,382,5.5%,7.7
2026-07-01,15,376,3.99%,6.7
2026-07-02,12,342,3.51%,6.5
2026-07-03,10,253,3.95%,12.5
2026-07-04,2,137,1.46%,10.4
2026-07-05,2,187,1.07%,10.2
2026-07-06,15,383,3.92%,7.2
2026-07-07,17,397,4.28%,7.2
2026-07-08,17,411,4.14%,7.4
2026-07-09,16,393,4.07%,7.7
2026-07-10,7,319,2.19%,7.8
2026-07-11,4,231,1.73%,12.8
2026-07-12,2,207,0.97%,11.5
2026-07-13,20,423,4.73%,10.8
2026-07-14,20,371,5.39%,10.7
