# ----------------------------------------
# Queries: Organic Google Search query
# Account: Nashville CARES
# Property: Cares360 Clinic
# ----------------------------------------
# 
# All Users
# Start date: 20251001
# End date: 20260630
Organic Google Search query,Organic Google Search clicks,Organic Google Search impressions,Organic Google Search click through rate,Organic Google Search average position
aid testing,0,1,0,2
aids,0,3,0,9.666666666666666
aids care,0,5,0,2.6
aids clinic near me,0,1,0,1
aids healthcare foundation,0,2,0,2
aids program,0,1,0,2
aids services,0,1,0,1
aids shots,0,1,0,14
aids test,0,3,0,2.666666666666667
aids testing,0,2,0,2
aids testing near me,0,5,0,1
al care,0,1,0,2
alan ayers urgent care,0,2,0,11.5
alder health,0,1,0,74
alder health services,0,4,0,77.25
all about you health care,0,1,0,13
all about you healthcare,0,97,0,17.15463917525773
all medical store near me,0,1,0,7
alliance care 360,0,16,0,37.0625
alliance care360,0,5,0,21.6
ambulatory care,0,1,0,8
amna osman,0,1,0,6
anonymous hiv testing,0,2,0,4.5
anonymous std testing near me,0,1,0,2
anonymous sti testing,0,1,0,12
answer with ai,0,1,0,7
arc clinic,0,1,0,1
arc std testing,0,1,0,95
are there free std testing clinics,0,1,0,2
arlene cooper,0,1,0,57
arlene cooper community health center,0,1,0,41
at home health care near me,0,3,0,38.333333333333336
at home herpes test kit,0,1,0,8
at home std checks,0,1,0,4
at home std test same day results,0,1,0,86
at home std testing near me,0,1,0,13
at home sti test nearby,0,1,0,6
at std test,0,1,0,2
atc care clinic,0,1,0,2
atd testing near me,0,1,0,12
averhealth nashville,0,3,0,37.333333333333336
baby love memphis tn,0,1,0,73
basic std testing,0,1,0,10
bcbs clinic,0,1,0,9
better2know,0,1,0,45
better2know clinic,0,1,0,37
better2know clinics,0,1,0,10
birth control clinic near me,0,2,0,4.5
black panther party free health clinics,0,1,0,13
blaise schaeffer nashville,0,2,0,12
blood tb test near me,0,1,0,1
blood test for early pregnancy detection,0,2,0,5.5
bloodtest,0,1,0,2
blue cross clinic near me,0,1,0,9
boil drainage near me,0,1,0,1
buy my house nashville,0,4,0,8.5
c care,0,10,0,1.8
c&s healthcare,0,1,0,9
c-care,0,3,0,5.333333333333333
c.a.r.e. center,0,1,0,6
c.a.r.e.s,0,2,0,2.5
cac care,0,1,0,1
call cares,0,1,0,44
callie clinic,0,3,0,87
campbell cares,0,1,0,59
campbell university community care clinic,0,1,0,66
can community health,0,7,0,1.2857142857142856
can i get an std test for free,0,2,0,2.5
can i get hiv from kissing,0,1,0,3
can urgent care do std testing,0,2,0,3.5
can you get chlamydia from oral,0,1,0,6
can you get std tested at urgent care,0,1,0,3
can you get std tested for free,0,1,0,8
can you get std testing at urgent care,0,1,0,5
can you get std testing for free,0,1,0,8
can you get std tests at urgent care,0,1,0,12
can you get sti testing at urgent care,0,1,0,4
can you get tested for aids,0,1,0,2
can you get tested for lymes disease,0,1,0,15
cann community health,0,1,0,1
cape sierra clinic,0,1,0,35
capvaxive vaccine,0,1,0,8
carbon health sti testing,0,1,0,3
carcareclinic,0,1,0,1
care,0,86,0,4.4186046511627906
care 100,0,1,0,50
care 2 you,0,2,0,37
care 2 you healthcare,0,1,0,10
care 3,0,2,0,75.5
care 30,0,1,0,3
care 36,0,2,0,1.5
care 360 customer service,0,20,0,22.3
care 360 health insurance,0,7,0,11.571428571428571
care 360 institute,0,2,0,5.5
care 360 insurance,0,1,0,10
care 360 medical center,0,4,0,8.75
care 360 program,0,90,0,68.9888888888889
care 365,0,13,0,43.30769230769231
care 4 u,0,2,0,87
care 4 u clinic,0,6,0,72
care 4 u community health center,0,7,0,67.85714285714286
care 4 us,0,3,0,43.666666666666664
care 4 you,0,1,0,7
care 4 you clinic,0,10,0,33.7
care 7,0,1,0,73
care about health,0,1,0,11
care access,0,1,0,8
care and cure clinic,0,1,0,1
care associates,0,1,0,6
care care,0,3,0,4.333333333333334
care cell,0,1,0,58
care center,0,3,0,1
care center inc,0,1,0,2
care center re9,0,1,0,12
"care center, nashville, tennessee, united states",0,4,0,1
care central,0,2,0,1.5
care choice,0,1,0,1
care clinic,0,20,0,2.15
care clinic aurora,0,1,0,1
care clinic near me,0,1,0,1
care clinic reviews,0,1,0,2
care clinical,0,7,0,4.285714285714286
care clinical phone call,0,1,0,5
care clinics,0,3,0,4
care clinics glp1,0,1,0,3
care clinics tirzepatide,0,1,0,3
care columbus,0,2,0,3.5
care community clinic,0,1,0,1
care contact number,0,1,0,3
care core 360,0,2,0,74.5
care corner,0,5,0,20
care customer,0,1,0,78
care diagnostic,0,1,0,74
care diagnostics,0,1,0,78
care eco health care,0,1,0,29
care eco healthcare,0,2,0,23.5
care evolve,0,2,0,17.5
care experience,0,12,0,73.25
care experts,0,4,0,60
care for aids,0,3,0,7
care for all,0,1,0,74
care for all community clinic,0,1,0,26
care for community,0,1,0,2
care for everyone,0,1,0,11
care for hiv patients,0,1,0,7
care for u clinic,0,1,0,3
care for us,0,6,0,31.166666666666668
care for who i am,0,10,0,19.1
care for you,0,4,0,6.5
care for you clinic,0,11,0,55.18181818181818
care for your health,0,14,0,62.42857142857143
care free medical clinic,0,2,0,6
care health,0,5,0,4.2
care health center,0,3,0,9.333333333333334
care healthcare,0,1,0,11
care here,0,1,0,11
care here near me,0,1,0,1
care house clinic,0,2,0,35.5
care info,0,1,0,6
care inquiry,0,1,0,56
care journeys,0,1,0,50
care lab,0,1,0,12
care m,0,1,0,7
care medic,0,1,0,1
care medical,0,1,0,1
care medical center,0,2,0,1
care memphis,0,3,0,24
care nashville,0,53,0,25.71698113207547
care now,0,5,0,4.6
care now close to me,0,1,0,1
care now hours,0,5,0,6.4
care now near me open now,0,2,0,3
care now std testing,0,2,0,10
care number,0,1,0,8
care of address,0,1,0,7
care office,0,8,0,55.875
care phone number,0,1,0,2
care plan oversight services nashville,0,50,0,17.98
care plus medical,0,1,0,1
care practice,0,2,0,45
care program,0,3,0,12
care programs,0,1,0,13
care resource,0,1,0,1
care resource center,0,2,0,57.5
care resource community health centers,0,1,0,6
care s,0,15,0,39.53333333333333
care secure,0,8,0,46.5
care send,0,1,0,50
care she,0,1,0,46
care sherpa,0,3,0,43.666666666666664
care snap,0,1,0,79
care space,0,1,0,69
care spot,0,2,0,4.5
care squared,0,2,0,66.5
care st,0,1,0,49
care supply nashville,0,1,0,37
care supply nashville tennessee,0,1,0,50
care team,0,43,0,46.906976744186046
care testing,0,1,0,2
care tn,0,7,0,7.857142857142857
care to you,0,22,0,47.22727272727273
care to you health,0,33,0,80.33333333333333
care today,0,1,0,8
care value health,0,1,0,22
care with purpose,0,1,0,54
care),0,1,0,5
"care,",0,2,0,5.5
"care, nashville, tennessee, united states",0,5,0,18
care-s,0,1,0,11
care.,0,5,0,4.8
care0,0,1,0,6
care2u,0,1,0,48
care2u community services,0,1,0,34
care300,0,50,0,62.86
care360 portal,0,3,0,55.333333333333336
care360.com,0,2,0,53.5
care365,0,4,0,65.5
care4me services,0,1,0,28
care4th,0,1,0,6
care4u clinic,0,23,0,49.869565217391305
care4us,0,1,0,33
care4us clinic,0,2,0,45
care518,0,1,0,6
care@alert360.com,0,1,0,1
care\,0,1,0,4
carea,0,1,0,7
carebbxo,0,1,0,1
carebridge nashville,0,1,0,50
carebridge nashville tn,0,1,0,39
carecentral,0,1,0,1
carechoice,0,1,0,1
careclinic,0,19,0,2.947368421052632
careclinics,0,1,0,2
cared 4,0,3,0,56
careers360,0,1,0,13
careforhealth,0,1,0,58
caregiver burnout quiz nashville,0,9,0,83.88888888888889
carelock,0,1,0,1
carenow,0,8,0,11.125
carenw,0,1,0,6
careplace,0,1,0,2
cares 4,0,2,0,39.5
cares 4 u,0,2,0,3
cares academy,0,5,0,70.2
cares agency,0,6,0,59.5
cares california,0,2,0,5
cares care,0,3,0,2.666666666666667
cares center,0,4,0,37.25
cares community,0,1,0,2
cares community health,0,6,0,45
cares customer service,0,2,0,8.5
cares for you,0,17,0,43.470588235294116
cares health,0,140,0,30.65
cares health and wellness,0,1,0,57
cares health insurance,0,1,0,73
cares healthcare,0,26,0,20.923076923076923
cares hiv,0,3,0,26.333333333333332
cares hospital,0,8,0,61.5
cares house,0,1,0,34
cares institute,0,2,0,64.5
cares insurance,0,2,0,32.5
cares kalamazoo,0,10,0,49.9
cares lab,0,4,0,26
cares medical,0,4,0,40.5
cares medical clinic,0,3,0,10.333333333333334
cares medical photos,0,1,0,16
cares network,0,1,0,59
cares oxford,0,2,0,44
cares program,0,3,0,9.333333333333334
cares services,0,3,0,31.666666666666668
cares sexual wellness services,0,6,0,49.833333333333336
cares support,0,1,0,71
cares team,0,3,0,1
cares teams,0,1,0,59
cares va,0,1,0,70
cares values,0,5,0,74.4
cares you,0,1,0,95
cares.,0,2,0,1.5
cares360.org owner,0,28,0,1
cares?,0,1,0,3
careshare,0,1,0,60
caresnap,0,2,0,54
caresouth locations,0,1,0,8
carespot,0,1,0,8
carespot std testing,0,5,0,38.6
caress maternity clinic,0,1,0,3
carestation,0,1,0,4
caresw,0,1,0,10
carethrough,0,1,0,7
caretify,0,1,0,8
caretoday,0,1,0,1
caretoyou,0,2,0,7
carevalue,0,1,0,43
careview,0,1,0,4
caring,0,40,0,4.925
caring health,0,1,0,1
caring health center,0,3,0,1
caring place,0,2,0,1.5
carmichael clinic,0,1,0,53
cast your cares upon him for he cares for you,0,1,0,3
cc care,0,1,0,1
cc's care clinic,0,3,0,4.666666666666666
ccap,0,10,0,5.9
ccare,0,62,0,3.0806451612903225
ccare locations,0,7,0,4.142857142857142
ccare phone number,0,5,0,2.4
ccc clinic,0,1,0,1
cccare,0,1,0,2
ccrs,0,15,0,2.9333333333333336
ccs care clinic,0,1,0,1
cdc std testing,0,1,0,5
center for health care services,0,1,0,1
center for health care strategies,0,2,0,28
center for health care value,0,37,0,55.54054054054054
center for health empowerment,0,1,0,98
center for health services,0,1,0,10
center for quality care,0,9,0,58.55555555555556
centra clinic,0,1,0,9
central outreach center,0,1,0,54
centre 360,0,1,0,9
centre care,0,1,0,1
centre care near me,0,1,0,10
centro de salud cerca de mi,0,1,0,4
certify care,0,1,0,39
cervical std,0,1,0,4
chagas testing near me,0,1,0,2
chalmydia testing,0,1,0,2
charis health,0,1,0,64
charity clinic,0,1,0,1
chcs,0,1,0,1
cheap clinic near me,0,1,0,47
cheap clinics for no insurance,0,1,0,10
cheap clinics no insurance,0,1,0,6
cheap health care,0,1,0,5
cheap physical near me,0,1,0,22
cheap physicals near me,0,1,0,16
cheap std testing,0,1,0,9
cheap std testing near me,0,7,0,4
cheap sti testing near me,0,1,0,1
cheap walk in clinic near me no insurance,0,1,0,8
cheapest walk in clinic without insurance,0,1,0,6
chear center,0,1,0,36
check 360,0,3,0,44.333333333333336
check call care,0,1,0,9
check clinic,0,4,0,53.5
check up,0,1,0,6
check up near me,0,1,0,1
checks360,0,1,0,31
chlamdia,0,1,0,8
chlamydia,0,11,0,7.909090909090909
chlamydia antibiotics,0,4,0,5
chlamydia cpt,0,1,0,2
chlamydia medicine,0,2,0,8
chlamydia symptoms,0,1,0,8
chlamydia symtoms,0,1,0,5
chlamydia test,0,15,0,3.7333333333333334
chlamydia test near me,0,2,0,1
chlamydia testing,0,5,0,2.8
chlamydia testing near me,0,13,0,6
chlamydia testing near me free,0,1,0,13
chlamydia treatment,0,32,0,7.375
chlamydia treatments,0,2,0,8.5
chlamydia treatmwnt,0,1,0,6
chlymidia medicine,0,1,0,9
chlymydia treatment,0,2,0,7
choicecare,0,2,0,1.5
christ community frayser,0,2,0,53
chronic care specialist,0,1,0,4
chronic condition management in nashville,0,45,0,56.82222222222222
chronic disease management nashville,0,2,0,38.5
city care,0,1,0,1
clamidya test,0,1,0,7
clark & washington nashville tennessee,0,12,0,70.91666666666667
clark health services,0,2,0,81
class a clinic,0,1,0,11
client near me,0,1,0,18
clinc,0,6,0,9.5
clincare,0,1,0,1
clini,0,1,0,9
clinic,0,9,0,28
clinic after hours,0,1,0,44
clinic appointment,0,1,0,3
clinic care shampoo,0,1,0,12
clinic for hiv,0,1,0,3
clinic for low income near me,0,1,0,31
clinic for people without insurance,0,3,0,8
clinic for std testing near me,0,2,0,6.5
clinic for sti,0,3,0,3
clinic for sti testing,0,1,0,9
clinic for uninsured patients,0,2,0,28
clinic free,0,1,0,5
clinic free std testing,0,1,0,6
clinic hiv test near me,0,2,0,6.5
clinic house,0,1,0,1
clinic in nashville,0,2,0,37.5
clinic in nashville tn,0,3,0,28.666666666666668
clinic jobs for rn near me,0,1,0,17
clinic nashville,0,8,0,18.5
clinic near home,0,1,0,2
clinic near me,0,26,0,22.96153846153846
clinic near me no insurance,0,1,0,14
clinic near me open now,0,1,0,34
clinic near me walk in,0,1,0,5
clinic near me with no insurance,0,1,0,6
clinic nearby,0,1,0,17
clinic pharmacy,0,1,0,1
clinic rn,0,1,0,6
clinic std,0,2,0,10.5
clinic std testing near me,0,3,0,7
clinic sti testing near me,0,1,0,13
clinic testing std,0,1,0,1
clinic to check for std near me,0,1,0,11
clinic volunteer opportunities near me,0,1,0,7
clinica,0,6,0,25.333333333333332
clinica ambulatoria,0,1,0,10
clinica care,0,1,0,1
clinica care center,0,2,0,7
clinica cares,0,1,0,9
clinica charlotte,0,1,0,8
clinica community care cerca de mi,0,1,0,1
clinica de anticonceptivos,0,2,0,5.5
clinica de vacunas,0,1,0,9
clinica gratis cerca de mi,0,1,0,20
clinica nashville,0,5,0,22.8
clinica para adultos,0,1,0,9
clinica para infecciones sexuales,0,2,0,2
clinical service,0,1,0,2
clinicals,0,1,0,4
clinicare,0,7,0,2.571428571428571
clinicas cerca de mi,0,4,0,47
clinicas de bajos recursos,0,1,0,6
clinicas economicas cerca de mi,0,1,0,20
clinicas en nashville tn,0,1,0,50
clinicas gratuitas,0,1,0,20
clinicas serca de mi,0,1,0,38
clinick,0,1,0,6
clinicles,0,2,0,2
clinics,0,3,0,28.666666666666668
clinics 360,0,1,0,65
clinics for birth control,0,1,0,1
clinics for people without insurance,0,2,0,10
clinics for std testing,0,1,0,1
clinics for std testing near me,0,2,0,1
clinics in nashville,0,4,0,25.75
clinics in nashville tn,0,1,0,33
clinics near me,0,8,0,39.5
clinics near me for std testing,0,1,0,13
clinics near me walk in,0,1,0,11
clinics open near me,0,1,0,11
clinics that treat stds near me,0,1,0,11
clinics walk in near me,0,1,0,39
clinique near me,0,4,0,5.75
clinis,0,1,0,4
clonic,0,3,0,3.3333333333333335
cls health,0,8,0,2
cls health locations,0,1,0,13
clymadia,0,1,0,7
clínica,0,1,0,8
clínica de planificación familiar cerca de mi,0,1,0,7
clínica para examen de drogas near me,0,1,0,5
clínica sin cita cerca de mí,0,1,0,15
clínicas,0,1,0,9
clínicas de urgencias cerca de mí,0,1,0,31
clínicas médicas cerca de mi,0,1,0,18
co pay card caresupport,0,1,0,100
coag clinic,0,31,0,3.806451612903226
com care,0,1,0,2
comcare,0,4,0,1
comfort care 360,0,1,0,9
comfort care clinic,0,1,0,58
commnity care,0,1,0,1
common street clinic,0,1,0,37
community aids network,0,1,0,4
community care,0,28,0,1.9642857142857144
community care center near me,0,2,0,8.5
community care clinic,0,16,0,41.25
community care clinic of dare,0,1,0,85
community care clinics,0,1,0,1
community care doctors,0,1,0,11
community care health,0,1,0,2
community care health center,0,1,0,1
community care health provider phone number,0,2,0,1
community care hospital,0,1,0,14
community care network,0,2,0,5
community care partners,0,1,0,4
community care phone number,0,1,0,3
community care program,0,1,0,5
community care rx,0,1,0,1
community care services,0,3,0,2.666666666666667
community cares,0,3,0,2.666666666666667
community cares near me,0,1,0,8
community clinic,0,2,0,7.5
community clinic near me,0,3,0,4
community doctor,0,1,0,4
community health care,0,1,0,14
community health centers,0,3,0,14
community health centers near me,0,2,0,10.5
community health clinic jobs,0,1,0,2
community health clinic near me,0,1,0,18
community health direct,0,1,0,2
community health nashville,0,1,0,37
community health near me,0,1,0,8
community health services,0,3,0,5
community healthcare,0,1,0,17
community healthcare near me,0,1,0,11
community medical clinic,0,2,0,7
community medical services,0,1,0,4
community of care,0,1,0,2
community outreach,0,1,0,12
community placement consultation services nashville,0,2,0,22.5
community rx pharmacy,0,1,0,7
community service,0,1,0,23
community service healthcare,0,2,0,1
community testing center,0,1,0,1
communitycare,0,7,0,1.8571428571428572
communitycare clinic,0,1,0,1
communitycare health,0,1,0,3
communitycare health centers,0,3,0,2
compassion360,0,1,0,23
complete care,0,1,0,10
complete health partners,0,1,0,12
comprehensive care clinic nashville,0,31,0,71.61290322580645
comprehensive care solutions,0,2,0,87.5
confidential care,0,2,0,73.5
confidential std testing,0,1,0,8
connectus health nashville,0,1,0,56
consult a nurse hotline free,0,1,0,12
consultant clinic,0,2,0,4.5
contact care,0,2,0,75.5
copeers,0,1,0,51
corecare,0,1,0,9
covid testing nashville,0,7,0,75.57142857142857
cqring,0,1,0,12
crescent clinic,0,1,0,1
crh urgent care,0,1,0,2
crhc,0,4,0,1
crpa medical,0,1,0,11
crs diagnostic,0,1,0,68
cruise clinic,0,1,0,2
csc clinic,0,1,0,1
csre healthcare,0,2,0,1.5
csre hospital,0,1,0,13
csre medical,0,3,0,2
csvs,0,2,0,4.5
curative care center,0,1,0,50
customer care center,0,1,0,13
cuánto vale,0,1,0,4
cvare,0,1,0,5
cvcare,0,1,0,2
cvs clinic,0,1,0,9
cvs clinic near me,0,1,0,7
cvs sti testing,0,2,0,4.5
cx18 nashville,0,1,0,71
david powell clinic,0,3,0,78.33333333333333
destiny mcgill nashville tn,0,5,0,53.4
digital marketing for healthcare nashville,0,1,0,75
dimensional health care associates,0,2,0,44
dimensions clinic,0,1,0,62
discreet std testing,0,2,0,3
diversity health nashville,0,8,0,28.625
do minute clinics do std testing,0,1,0,6
do urgent care do std testing,0,1,0,2
do urgent cares do hiv testing,0,1,0,9
do urgent cares do std testing,0,1,0,6
doc in a box near me,0,1,0,1
doc in the box near me,0,2,0,1
does carenow do std testing,0,4,0,11
does carenow test for stds,0,1,0,10
does carespot do std testing,0,2,0,43
does insurance cover sti testing,0,1,0,10
does it shorten life expectancy,0,1,0,3
does urgent care do herpes testing,0,2,0,3
does urgent care do std testing,0,5,0,3.6
does urgent care do std treatment,0,2,0,2
does urgent care do sti,0,1,0,2
does urgent care have std testing,0,1,0,5
does urgent care offer sti testing,0,1,0,4
does urgent care test for stds,0,1,0,3
donde puedo hacerme la prueba de vih gratis,0,1,0,11
dr 360,0,1,0,1
dr bourgi,0,3,0,6.333333333333333
dr care,0,4,0,1
dr care vista view,0,1,0,12
dr house,0,1,0,1
dr house clinic,0,1,0,1
dr tashawna moore,0,1,0,20
dr. care,0,1,0,1
drcare,0,1,0,1
drug test clinic near me,0,1,0,5
each care,0,1,0,65
ekg testing near me,0,1,0,7
emergency copper iud near me,0,2,0,1
emergency hiv medication,0,1,0,7
emergency hiv testing,0,1,0,7
emergency std testing,0,2,0,9.5
employment physical exam near me,0,1,0,1
end hiv,0,1,0,7
equality care center,0,8,0,76.75
erc comprehensive clinic,0,1,0,47
esupporthealth,0,2,0,16.5
etsi health clinic,0,1,0,79
evidence care nashville,0,1,0,17
examen físico para niños gratis cerca de mi,0,1,0,4
family and friends clinic,0,1,0,1
family planning clinic near me,0,5,0,8
fast std test near me,0,1,0,1
fast std testing near me,0,1,0,12
fast sti testing,0,1,0,8
